Master_Plot,NO_LichenSpp,NO_LichensMatrix,NO_indeterminatespp,NO_PBAbsent,NO_PBCyanobact,NO_PBGreencoccoid,NO_PBGreentrent,NO_PBPolymorph,NO_PBGreenStichoc,NO_Bark,NO_Humus,NO_Lichen,NO_noncalc.rock,NO_Wood,NO_Leaf,NO_Calc.rock,NO_Fungi,NO_Hepatics,NO_EpiphyticMacrolichenNO_,NO_EpiphyticMacrolichenYes,NO_Lichenized,NO_nonLichenized,NO_ParasiteNo,NO_ParasiteYes,NO_Crustose,NO_Foliose,NO_Fruticose,NO_Polymorp,NO_Squam,NO_Umbilicate,NO_FungalAsexual,NO_LichenizedAsexual,NO_Polymorphic,NO_Sexual,Date_Inventoried,DateSampled,State,Plot_Code_AUTOFILLS,SiteNameEmu,County,OwnerEmuIRN,Jurisdiction,Locality_Data,HabitatData,General_Geology,Precise_Geology,Latitude,Longitude,Elevm,Slope,Aspect,Collecting_Time_Mins,NO_Collectors,LichenDiversity,NO_VoucherCollections,WetDryDay,RockCover,LargeTrees,CanopyCover,Understory,Weediness,Recruitment,Litter,Loggyness,PatchSize,Neighborhood,DistancetoCore,SumHabitatQuality,SumDBH,AverDBH,NO_Shrubspp,NO_Treespp,NO_Woodyspp,Notes
34,39,38,1,0,0,32,6,0,0,37,0,0,1,0,0,0,0,0,19,19,38,0,38,0,19,17,2,0,0,0,0,16,1,21,5/9/2017,5/9/2017,AL,AL-MP-34,WNWR-Beaverdam Walk,Morgan,253041,United_States_Fish_and_Wildlife_Service,"Wheeler National Wildlife Refuge, Beaverdam Boardwalk through floodplain of Beaverdam Creek, 0.4 mi SW of terminus of Old Hwy. 20, and 0.3 mi S of I-565/AL20/US72","Disturbed bottomland hardwood (Acer rubrum, Carpinus, Fraxinus, Nyssa, Quercus velutina, Q. prinus (?), Ulmus) forest with many mature trees and invasive rich understory",Non_calcareous,Non_calcareous,34.64484,-86.82149,188,0,Flat,30,2,39,56,Dry,0,10,5,5,2,7.5,3,1,4,4.2,0,41.7,683,113.83,0,8,8, 
35,71,68,3,0,6,44,18,0,0,57,1,0,1,0,0,9,0,0,43,25,68,0,68,0,40,22,4,1,0,1,1,21,2,44,5/11/2017,5/11/2017,AL,AL-MP-35,JMS-Bear Hollow,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, Bear Hollow, W-facing slopes above unnamed stream E of Tate Cove Rd. 5 mi SE of jct w/ Money Hollow Rd. and 5.1 mi SW of jct w/ AL79","W-facing slopes of stream ravine with limestone outcrops and mixed hardwood (Acer saccharum, Carpinus, Carya, Fagus, Fraxinus, Liriodendron, Prunus, Ostrya, Quercus prinus, Q. velutina, Tilia) – conifer (Juniperus, Pinus taeda) forest",Calcareous,Limestone,34.91872,-86.0287,222,20,West_facing,60,2,71,92,Dry,3,6,5,20,9,10,5,3,10,5.2,5,78.2,777.5,77.75,0,14,14, 
36,20,20,0,0,0,19,1,0,0,16,2,0,1,0,0,1,0,0,11,9,20,0,20,0,9,9,0,2,0,0,0,9,0,11,5/11/2017,5/11/2017,AL,AL-MP-36,JMS-Tate Cove,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, Tate Cove Rd. 1.2 mi E of jct w/ Money Hollow Rd. and 1.3 mi E of jct w/ AL79","Ruderal hardwood (Acer saccharum, Aesculus, Asimina, Cercis, Fagus, Fraxinus, Liriodendron, Liquidambar, Paulownia, Rhus, Salix) – conifer (Juniperus) forest on margins of gravel road",Non_calcareous,Non_calcareous,34.94226,-86.06723,409,5,North_facing,30,4,20,20,Dry,1.5,3,0,0,2,5,0,0,10,4.2,5,29.2,103,103,2,13,15, 
37,117,115,2,3,2,99,11,0,0,86,12,0,14,3,0,0,0,0,73,42,112,3,115,0,52,39,2,15,6,1,2,46,6,61,5/13/2017,5/13/2017,AL,AL-MP-37,BNF-Corinth,Winston,253038,United_States_National_Forest_Service,"Bankhead National Forest, Corinth Glade, W of CR57 1.6 mi S of AL74/US278","Extensive sandstone glade surrounded by mixed conifer (Juniperus, Pinus taeda, P. virginiana) – hardwood (Carya, Chionanthus, Liquidambar, Nyssa, Quercus alba, Q. falcata, Q. marilandica, Q. prinus) forest with Vaccinium and Ligustrum understory",Non_calcareous,Sandstone,34.11915,-87.32627,198,5,North_facing,80,3,117,177,Wet,8,6,5,15,9,10,5,2,10,3.8,4,69.8,269,53.8,2,14,16, 
38,82,81,1,2,2,73,4,0,0,50,16,3,8,3,0,1,0,0,58,23,79,2,78,3,38,20,4,14,4,1,4,30,6,41,5/13/2017,5/13/2017,AL,AL-MP-38,NFG,Marion, ,Private,"North Fork Glade, vicinity of confluence of Gin Creek and North Fork Creek, N of AL17/US43 8.8 mi N of int. w/ US278/AL74 in Hamilton","Extensive sandstone glade including both flats and stream channel canyons, with mixed conifer (Pinus echinata, P. taeda, P. virginiana) – hardwood (Acer rubrum, Carya, Fraxinus, Prunus, Liquidambar, Liriodendron, Quercus alba, Q. stellata) forest including Tsuga and Kalmia understory in canyons",Non_calcareous,Sandstone,34.23926,-87.89563,182,30,Flat,85,3,82,113,Dry,8,6,5,12,9,10,5,4,2,-.8,0,52.2,208,52,2,11,13, 
39,99,98,1,2,6,82,8,0,0,63,4,2,26,3,0,0,0,0,66,32,96,2,96,2,55,30,3,4,6,0,1,56,4,37,5/15/2017,5/15/2017,AL,AL-MP-39,JMS-Bishop Hollow,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, NE-facing bluff above Bishop Hollow, 0.4 mi E of Poplar Springs Rd., 1.0 mi N of jct w/ Money Rd.","Sandstone bluff and boulders with mature mixed hardwood (Quercus prinus dominant, Acer rubrum, Carya, Liriodendron, Nyssa, Oxydendrum, Sassafras, Tilia) forest with Kalmia-Vaccinium understory",Non_calcareous,Sandstone,34.89674,-86.13516,514,13,North_facing,88,3,99,150,Dry,5,10,5,20,15,10,5,5,10,3.2,5,88.2,449,112.25,2,10,12, 
40,56,56,0,1,3,49,3,0,0,52,1,1,2,0,0,0,0,0,29,27,55,1,55,1,27,25,2,1,1,0,0,36,2,18,5/15/2017,5/15/2017,AL,AL-MP-40,JMS-Poplar Springs,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, W of Poplar Springs Rd. 0.3 mi N of jct w/ AL46, W of Skyline Shooting Range","Disturbed mixed hardwood (Acer rubrum, Carya, Cornus, Ilex, Oxydendrum, Nyssa, Prunus, Sassafras, Quercus prinus, Q. rubra, Q. stellaris)",Non_calcareous,Sandstone,34.8584,-86.13125,522,0,Flat,30,3,56,72,Dry,0,5,5,0,2,5,3,3,4,2.6,5,34.6,528,88,0,11,11, 
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/15/2017,5/15/2017,AL,AL-MP-41,Grant-General,Marshall, ,Private,"Grant, Dollar General",Parking lot,Non_calcareous,Non_calcareous,34.51324,-86.26026,370,0,Flat,0,3,0,0,Dry,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parking lot no trees
42,83,81,2,0,1,64,16,0,0,67,3,0,10,0,0,0,0,1,52,29,81,0,81,0,47,27,5,1,1,0,0,40,3,38,5/17/2017,5/17/2017,AL,AL-MP-42,BNF-Davis Creek,Winston,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, N-facing slopes above S shore of the Sipsey River, 2.0 mi S of Sipsey River Recreation Area, 0.2 mi N of FSR228B, 0.6 mi W of confluence of the Sipsey River with Davis Creek","Mature Tsuga – hardwood (Acer saccharum, Betula lenta, Fagus, Ilex opaca, Liriodendron, Magnolia macrophylla) forest with massive sandstone cliffs and overhangs",Non_calcareous,Sandstone,34.27301,-87.37579,205,35,North_facing,75,2,83,120,Dry,3,10,5,15,15,10,5,3,10,4,5,82,693,138.6,0,7,7, 
43,79,77,2,0,7,51,19,0,0,65,3,0,8,0,0,1,0,0,50,27,77,0,77,0,45,20,3,2,7,0,0,33,2,42,5/17/2017,5/17/2017,AL,AL-MP-43,BNF-Caney Creek,Winston,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, N-facing slopes above S shore of the Sipsey River, 1.1 mi  N of confluence of Caney Creek and Sipsey River, 2.0 mi N of AL33 crossing","Mixed hardwood (Acer saccharum, Betula lenta, Fagus, Ilex opaca, Liriodendron, Magnolia macrophylla, Nyssa, Quercus prinus) – hemlock (Tsuga) forest with some mature trees and massive sandstone cliffs and overhangs",Non_calcareous,Sandstone,34.24325,-87.36827,171,15,North_facing,45,2,79,114,Dry,4,6,5,15,15,10,5,5,10,4,5,80,566,113.2,0,14,14, 
44,53,53,0,0,2,46,5,0,0,47,1,0,1,4,0,0,0,0,29,24,53,0,53,0,25,21,1,3,3,0,0,35,4,14,5/19/2017,5/19/2017,AL,AL-MP-44,JMS-Money Road,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, S of Money Rd. 0.3 mi E of jct w/ Poplar Springs Rd., 1.5 mi W of jct w/ CR244","Disturbed mixed hardwood (Acer rubrum, Carya, Liquidambar, Liriodendron, Nyssa, Oxydendrum, Quercus alba, Q. rubra) forest with abundant Smilax",Non_calcareous,Sandstone,34.88058,-86.12507,528,0,Flat,50,2,53,68,Dry,0,4,5,10,7,10,3,3,4,1.8,2,49.8,555,79.29,0,9,9, 
45,58,56,2,1,3,50,2,0,0,50,2,1,1,2,0,0,0,0,24,32,55,1,55,1,20,30,1,2,3,0,1,39,3,13,5/19/2017,5/19/2017,AL,AL-MP-45,JMS-Woodall Road,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, N of Woodall Rd. 0.4 mi W of jct w/ Poplar Springs Rd.","Mixed hardwood (Acer rubrum, Carya, Nyssa, Oxydendrum, Quercus alba, Q. rubra) forest with Vaccinium understory",Non_calcareous,Sandstone,34.87228,-86.13607,537,0,Flat,50,2,58,70,Dry,0,6,5,20,11,10,5,1,8,2.6,2,70.6,707,88.38,1,9,10, 
46,51,51,0,0,1,47,4,0,0,48,2,0,1,1,0,0,0,0,26,26,52,0,52,0,23,23,2,3,1,0,0,32,3,17,5/19/2017,5/19/2017,AL,AL-MP-46,JMS-Ole Piney,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, W of Poplar Springs Rd.  0.8 mi N of jct w/ Money Rd., 1.2 mi N of jct w/ Woodall Rd.","Disturbed Pinus virginiana – hardwood (Acer rubrum, Liquidambar, Oxydendrum, Nyssa, Sassafras, Quercus alba, Q. rubra) forest with small wet depression",Non_calcareous,Sandstone,34.88996,-86.13808,544,0,Flat,50,2,51,54,Dry,0,2,2,10,11,10,5,4,8,1.1,4,57.1,510,85,0,12,12, 
47,14,14,0,1,0,13,0,0,0,13,1,0,0,0,0,0,0,0,8,6,13,1,14,0,7,6,0,1,0,0,0,8,1,5,5/19/2017,5/19/2017,AL,AL-MP-47,JMS-Ole Piney II,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, W of Poplar Springs Rd.  0.25 mi N of jct w/ Money Rd., 0.6 mi N of jct w/ Woodall Rd.","Mature Pinus taeda stand with occasional mature hardwoods (Quercus alba, Q. rubra) and understory of saplings (Carya, Liquidambar, Prunus, Rhus)",Non_calcareous,Sandstone,34.88354,-86.1323,532,0,Flat,10,2,14,14,Dry,0,10,0,0,7,10,3,0,8,2,4,44,523,130.75,1,7,8, 
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/19/2017,5/19/2017,AL,AL-MP-48,JMS-Clearout,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, S of Money Rd. 0.6 mi W of jct w/ CR244","Regenerating clearcut dominated by saplings (Carya, Liquidambar, Liriodendron, Prunus, Rhus, Quercus rubra) with lone Pinus taeda and",Non_calcareous,Sandstone,34.88974,-86.11448,519,0,Flat,0,2,0,0,Dry,0,0,0,0,7,10,0,0,8,3,4,32,0,0,1,8,9, clearcut no trees of dbh size
49,34,34,0,1,1,28,4,0,0,34,0,0,0,0,0,0,0,0,20,14,33,1,34,0,20,13,0,0,1,0,0,20,0,14,5/19/2017,5/19/2017,AL,AL-MP-49,JMS-Spindle Stick,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, E of CR201 0.06 mi N of jct w/ CR200, 0.25 mi N of jct w/ CR33","Ruderal mixed hardwood (Acer rubrum, Carya, Liquidambar, Liriodendron, Prunus, Quercus alba, Quercus rubra) forest with many saplings and abundant Smilax",Non_calcareous,Sandstone,34.85635,-86.05287,522,0,Flat,20,2,34,38,Dry,0,3,0,5,7,10,5,1,2,1.2,2,36.2,320,80,1,8,9, 
50,93,90,3,3,9,65,13,0,0,70,2,2,3,2,0,11,0,0,54,36,87,3,88,2,47,38,0,2,3,0,1,38,3,48,5/21/2017,5/21/2017,AL,AL-MP-50,JMS-Daniel Gap,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, N-facing slopes below Daniel Gap, W of access road 0.8 mi NE of jct w/ CR54, 0.07 mi S of jct w/ Poplar Springs Rd.","Mixed hardwood (Acer saccharum, Carya, Quercus alba, Q. velutina) – Juniperus forest with shaded limestone rock outcrops and stream ravine",Calcareous,Limestone,34.9369,-85.96131,375,20,West_facing,75,2,93,108,Wet,3,4,3,15,15,10,5,4,10,5.2,5,76.2,547.5,68.44,1,12,13, 
51,54,51,3,0,3,34,14,0,0,38,1,0,1,0,0,11,0,0,33,18,51,0,51,0,29,16,1,1,3,1,0,21,2,28,5/21/2017,5/21/2017,AL,AL-MP-51,JMS-Smalligans,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, W-facing slopes above Little Coon Creek, E of CR45 0.1 mi N of jct w/ CR567, 0.2 mi N of jct w/ Smalligan’s Steep, 1.5 mi N of Cave Spring","Extensive shaded limestone bluffs with Juniperus – mixed hardwood (Acer saccharum, Carya, Fagus, Prunus, Quercus alba, Q. velutina, Ulmus) and occasional Pinus echinata",Calcareous,Limestone,34.92822,-85.96609,225,25,West_facing,60,2,54,61,Wet,6,6,3,15,9,10,5,5,10,5.2,5,73.2,946,86,0,12,12, 
52,71,69,2,0,5,50,14,0,0,59,2,0,0,1,0,7,0,0,38,31,69,0,69,0,32,31,1,3,1,1,0,32,3,34,5/21/2017,5/21/2017,AL,AL-MP-52,JMS-Crow Mountain,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, N-facing slopes of Crow Mountain, E of CR55 1.2 mi S of jct w/ CR53, 0.2 mi S of Low Gap","Mixed hardwood (Acer saccharum, Aesculus, Carya, Fraxinus, Quercus alba, Q. velutina) forest with shaded limestone outcrops",Calcareous,Limestone,34.85146,-85.92503,233,10,North_facing,60,2,71,87,Wet,4,6,3,20,11,10,5,4,6,2,0,67,790,98.75,0,9,9, 
53,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,1,3,0,3,0,2,1,0,0,0,0,0,1,0,2,5/21/2017,5/21/2017,AL,AL-MP-53,JMS-Roach Cove,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, E of CR55 1.1 mi N of Roach Cove, 2.1 mi N of jct w/ CR42","Pinus taeda plantation adjacent to agricultural fields, with ruderal shrubs and regenerating hardwoods (Carya, Prunus)",Non_calcareous,Non_calcareous,34.8376,-85.92688,188,0,Flat,5,2,3,3,Wet,0,0,0,0,2,5,3,0,1,-2,0,9,656,82,0,3,3, 
54,100,97,3,1,10,75,9,2,0,93,2,0,1,1,0,0,0,0,47,50,96,1,97,0,45,37,10,1,4,0,1,62,2,32,10/16/2017,10/16/2017,NC,NC-MP-54,GSMNP-Caldwell Fork,Haywood,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, W-facing slopes above Caldwell Fork, Caldwell Fork Trail 0.3 mi S of jct w/ McKee Branch Trail","Mixed hardwood (Acer, Betula, Cornus, Liriodendron) – conifer (Pinus strobus, Tsuga) forest with many recently dead young Tsuga",Non_calcareous,Non_calcareous,35.59472,-83.10778,976,5,West_facing,90,1,100,118,Wet,0,4,3,10,15,10,5,3,10,5.2,5,70.2,695,99.29,0,13,13, 
55,74,72,2,0,5,62,4,1,0,66,3,0,1,2,0,0,0,0,37,35,72,0,72,0,33,33,3,3,0,0,1,38,4,29,10/24/2017,10/26/2017,NC,NC-MP-55,GSMNP-McKee Branch,Haywood,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, SW facing slopes above N shore of McKee Branch, McKee Branch Trail 0.7 mi SE of jct w/ Caldwell Fork Trail","Mixed hardwood (Acer, Betula, Fagus, Liriodendron, Quercus alba, Q. prinus, Q. rubra) forest with Rhododendron-Vaccinium understory and many dead hemlock (Tsuga)",Non_calcareous,Non_calcareous,35.59111,-83.0952,1054,10,West_facing,70,1,74,92,Dry,1,6,5,15,15,10,5,5,10,5.2,5,81.2,784,156.8,2,12,14, 
56,59,57,2,0,0,52,5,0,0,54,1,0,0,2,0,0,0,0,34,23,57,0,57,0,34,21,2,0,0,0,0,34,0,23,10/25/2017,10/27/2017,NC,NC-MP-56,GSMNP-Little Ridge,Haywood,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, Little Ridge above Hurricane Creek, W-facing slopes above jct of Rough Fork Trail and Caldwell Fork Trail","Dead hemlock (Tsuga) stand with mixed hardwoods (Acer saccharum, Betula lenta, Magnolia fraseri) and dense Rhododendron understory",Non_calcareous,Non_calcareous,35.5872,-83.1427,1218,15,West_facing,50,1,59,75,Dry,0,1,0,15,15,5,5,5,10,5.2,5,66.2,561,140.25,1,6,7, 
57,87,86,1,2,5,69,10,0,0,82,2,1,0,1,0,0,0,0,52,34,84,2,84,2,49,27,4,3,3,0,1,37,4,44,12/1/2017,12/1/2017,TN,TN-MP-57,CNF-Natty Creek,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, W-facing slopes above Natty Creek, SW of FSR384/Wildcat Rd., 0.4 mi S of jct w/ FSR384C","Pine dominated conifer (Pinus echinata, P. strobus, P. virginiana, Tsuga) – hardwood (Acer rubrum, Cornus, Ilex opaca, Magnolia, Quercus alba, Q. rubra) forest with Kalmia understory",Non_calcareous,Non_calcareous,35.31949,-84.23027,454,10,West_facing,60,1,87,107,Dry,0,3,3,20,15,10,5,3,8,3.2,5,75.2,677,67.7,1,13,14, 
58,65,62,3,1,5,51,5,0,0,49,2,0,8,2,0,1,0,0,36,26,61,1,62,0,29,27,0,3,3,0,1,40,4,17,12/2/2017,12/2/2017,TN,TN-MP-58,CNF-Johns Creek,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, N-facing slopes above Johns Creek, S of FSR384C/Wildcat Rd., 0.4 mi S of Miller Cemetery","Mixed conifer (Pinus strobus dominant, Tsuga) – hardwood (Acer rubrum, Betula lenta, Carya, Liriodendron, Quercus alba, Q. prinus) forest with large sandstone outcrop",Non_calcareous,Sandstone,35.31321,-84.21034,576,15,North_facing,45,1,65,71,Dry,1,3,3,0,11,10,5,3,8,3.2,5,51.2,474,118.5,1,11,12, 
59,54,54,0,0,2,51,1,0,0,50,2,0,0,2,0,0,0,0,24,30,54,0,53,1,21,26,2,3,2,0,0,29,3,22,12/3/2017,12/3/2017,TN,TN-MP-59,CNF-Baker Grave,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, E-facing slopes of Baker Grave Mountain above Quarry Creek, E of FSR341/Witt Rd. 0.6 mi N of jct w/ FSR341A","Mixed pine (Pinus echinata, P. strobus, P. virginiana) – hardwood (Quercus prinus dominant, Acer rubrum, Oxydendrum, Q. alba, Q. rubra) forest",Non_calcareous,Non_calcareous,35.31871,-84.31603,497,10,East_facing,45,1,54,61,Dry,.5,0,3,10,11,10,5,3,8,2,5,57,316,63.2,1,10,11, 
60,86,86,0,2,3,64,17,0,0,79,2,0,2,2,0,0,1,0,55,31,84,2,86,0,52,27,3,2,2,0,0,41,3,42,12/4/2017,12/4/2017,TN,TN-MP-60,CNF-Tellico Mountain,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, E-facing slopes of Tellico Mountain above Wilson Branch of Conasauga Creek, W of FSR341/Witt Rd. 0.8 mi S of jct w/ FSR341A","Hardwood (Acer rubrum, Betula lenta, Carya, Carpinus, Cornus, Liriodendron, Nyssa, Quercus alba, Q. prinus) forest with sparse Pinus strobus and Tsuga",Non_calcareous,Non_calcareous,35.30327,-84.32088,509,20,East_facing,60,1,86,108,Dry,.5,4,3,15,11,10,5,0,8,2,5,63,687,137.4,1,13,14, 
61,77,76,1,3,1,66,6,0,0,71,0,2,3,0,0,0,0,0,45,31,73,3,74,2,45,30,1,0,0,0,0,42,0,34,12/8/2017,12/8/2017,TN,TN-MP-61,GSMNP-Meigs Mountain,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, N-slopes of Meigs Mountain, 0.1 mi S of jct of Curry Mountain Trail and Meigs Mountain Trail","Mixed hardwood (Acer saccharum, Betula lenta, Carya, Liriodendron, Oxydendrum, Prunus, Quercus rubra, Q. prinus) forest with and Kalmia-Rhododendron understory",Non_calcareous,Non_calcareous,35.64331,-83.63351,906,10,South_facing,60,2,77,127,Wet,.5,6,5,20,15,10,5,0,10,5.2,5,81.2,898,99.78,1,12,13, 
62,68,68,0,1,4,56,7,0,0,60,2,0,2,4,0,0,0,0,36,32,67,1,68,0,31,24,7,5,1,0,1,39,6,22,12/9/2017,12/9/2017,TN,TN-MP-62,GSMNP-Little River,Blount,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, ridge E of Little River Gorge Rd., ~3.7 mi NE of jct w/ TN73, slopes above E shore of Little River, E of confluence of Wagulee Branch w/ Little River","Conifer (Pinus echinata, P. strobus, P. virginiana, Tsuga) dominated forest with mixed hardwoods (Acer saccharum, Betula lenta, Carya, Fagus, Nyssa, Oxyxendrum, Quercus alba, Q. rubra) and Kalmia-Rhododendron understory",Non_calcareous,Non_calcareous,35.66836,-83.68276,410,30,North_facing,72,2,68,96,Wet,1,3,5,15,7,10,5,0,8,4.2,5,62.2,687,85.88,3,11,14, 
63,74,71,3,2,5,53,10,0,1,64,1,0,5,1,0,0,0,0,37,34,69,2,71,0,35,29,5,1,1,0,0,38,2,31,12/10/2017,12/10/2017,TN,TN-MP-63,CNF-Little Citico Creek,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, E shore of Citico Creek S of confluence with Little Citico Creek, S of jct of FSR2403 & FSR35-1/Citico Rd., 0.3 mi N of jct. of FSR35-1/Citico Rd. & CR506/Buck Highway","Floodplain forest dominated by mixed hardwoods (Acer rubrum, Betula lenta, Carpinus, Carya, Liquidambar, Liriodendron, Nyssa, Ostrya) with sparse conifers (Pinus strobus, Tsuga) and herbaceous understory with Arundinaria",Non_calcareous,Non_calcareous,35.47643,-84.11474,290,0,Flat,71,2,74,119,Dry,1,0,5,5,0,10,5,1,8,3.2,5,42.2,691,76.78,6,18,24, 
64,50,50,0,1,0,42,6,1,0,47,2,1,0,0,0,0,0,0,24,26,49,1,49,1,22,24,2,2,0,0,0,30,2,18,12/9/2017,12/9/2017,TN,TN-MP-64,GSMNP-Katy Holler,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, Foothills Parkway Tract, W of Robeson Rd./Katy Holler Rd., 0.2 mi S of int. w/ Kulpan Way, 0.4 mi N of int. w/ Covemont Rd.","Ruderal forest dominated by Liriodendron with mixed hardwoods (Acer saccharum, Prunus) and dead Pinus virginiana",Non_calcareous,Non_calcareous,35.71188,-83.62992,484,5,South_facing,25,2,50,66,Wet,.5,0,0,5,0,10,0,4,4,.4,2,25.4,527,65.88,4,8,12, 
65,73,71,2,0,3,56,12,0,0,68,2,0,0,1,0,0,0,0,41,30,71,0,71,0,38,27,1,3,2,0,0,31,4,36,12/10/2017,12/10/2017,TN,TN-MP-65,TNSP-McGee Carson,Monroe,253042,Tennessee_State_Parks,"McGee Carson State Historical Park, slopes above W shore of the Little Tennessee River, SE of Carson Rd., 0.7 mi NE of int. w/ TN360","Mixed hardwood (Acer rubrum, A. saccharum, Carya ovata, Carya sp., Liquidambar, Oxydendrum, Sassafras, Quercus alba, Q. rubra) – conifer (Pinus echinata) forest",Non_calcareous,Non_calcareous,35.58103,-84.19482,267,5,East_facing,54,2,73,102,Dry,.5,3,5,0,4,10,5,1,6,.4,0,34.4,765,127.5,2,17,19, 
66,69,68,1,0,1,64,2,1,0,64,1,0,3,0,0,0,0,0,32,36,68,0,68,0,31,30,6,1,0,0,0,43,1,24,12/11/2017,12/11/2017,TN,TN-MP-66,GSMNP-Bote Mountain,Blount,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, E slopes of Bote Mountain, Bote Mountain Trail 0.2 mi S of jct w/ Lead Cove Trail","Mixed hardwood (Acer saccharum, Betula lenta, Nyssa, Oxydendrum, Quercus prinus) – conifer (Pinus echinata, P. virginiana, Tsuga) forest with Kalmia-Rhododendron understory",Non_calcareous,Non_calcareous,35.59337,-83.73161,954,30,East_facing,60,2,69,90,Dry,1,3,5,15,15,10,5,3,10,5.2,5,76.2,688,86,2,11,13, 
67,92,91,1,0,8,73,8,2,0,82,3,0,6,0,0,0,0,0,51,40,91,0,91,0,46,36,5,2,1,1,0,50,2,39,12/11/2017,12/11/2017,TN,TN-MP-67,GSMNP-Mount Squires,Blount,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, N slopes of Mount Squires, Appalachian Trail 0.7 mi W of Spence Field and jct w/ Anthony Creek Trail/Bote Mountain Trail","Northern hardwood forest dominated by Fagus and Betula alleghaniensis with sparse Acer saccharum, Amelanchier and Prunus and non-calcareous rock outcrops",Non_calcareous,Non_calcareous,35.56289,-83.74313,1531,0,Flat,60,2,92,140,Dry,3,3,5,20,15,10,5,3,10,5.2,5,81.2,741,49.4,2,6,8, 
68,76,76,0,2,5,64,4,1,0,66,2,1,5,2,0,0,0,0,42,34,74,2,75,1,39,29,3,2,3,0,0,46,2,28,12/14/2017,12/17/2017,TN,TN-MP-68,CNF-Cow Camp,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, Bald River Gorge Wilderness, W-slopes of Cow Camp Lead, along Henderson Mountain Trial/Trail-107, ~1 mi E of jct w/ Cow Camp Trial/Trail-173","Mixed hardwood (Acer saccharum, A. pensylvanicum, Carya, Cornus, Halesia, Quercus coccinea, Q. prinus) forest with Pinus echinata",Non_calcareous,Non_calcareous,35.31421,-84.15181,707,10,West_facing,56,2,76,109,Dry,0,3,5,15,15,10,5,3,10,5.2,5,76.2,724,120.67,0,11,11, 
